2022-12-07 00:50:21,499 [ERROR] MainProcess(12336):ask               (11968) | ask.search:44 - For module AskSearch, you need to configure the proxy in setting.py file
2022-12-07 00:50:21,499 [DEBUG] MainProcess(12336):ask               (11968) | module.finish:66 - Finished AskSearch module to collect gdei.edu.cn's Email
2022-12-07 00:50:21,499 [INFOR] MainProcess(12336):ask               (11968) | module.finish:68 - AskSearch module took 4.1 seconds found 0 Email
2022-12-07 00:50:21,963 [DEBUG] MainProcess(12336):so                (15560) | module.finish:66 - Finished SoSearch module to collect gdei.edu.cn's Email
2022-12-07 00:50:21,963 [INFOR] MainProcess(12336):so                (15560) | module.finish:68 - SoSearch module took 4.6 seconds found 0 Email
2022-12-07 00:50:22,471 [ALERT] MainProcess(12336):bingcn            (12636) | utils.check_response:123 - GET https://lib.gdei.edu.cn/ 403 - Forbidden 460
2022-12-07 00:50:22,551 [ALERT] MainProcess(12336):qwant             (13164) | utils.check_response:123 - GET https://lib.gdei.edu.cn/ 403 - Forbidden 460
2022-12-07 00:50:22,881 [ALERT] MainProcess(12336):bingcn            (12636) | utils.check_response:123 - GET https://tb.gdei.edu.cn/index 502 - Bad Gateway 552
2022-12-07 00:50:23,288 [ALERT] MainProcess(12336):bingcn            (12636) | utils.check_response:123 - GET https://xjjx.gdei.edu.cn/cx/Index.aspx 403 - Forbidden 548
2022-12-07 00:50:24,487 [ALERT] MainProcess(12336):githubapi         (8772 ) | utils.check_response:123 - GET https://api.github.com/search/code?q=gdei.edu.cn&per_page=100&page=1&sort=indexed&access_token= 401 - Unauthorized 90
2022-12-07 00:50:24,487 [ALERT] MainProcess(12336):githubapi         (8772 ) | utils.check_response:132 - {'message': 'Bad credentials', 'documentation_url': 'https://docs.github.com/rest'}
2022-12-07 00:50:24,487 [ALERT] MainProcess(12336):githubapi         (8772 ) | githubapi.search:72 - 'NoneType' object has no attribute 'json'
2022-12-07 00:50:24,487 [DEBUG] MainProcess(12336):githubapi         (8772 ) | module.finish:66 - Finished GithubApi module to collect gdei.edu.cn's Email
2022-12-07 00:50:24,487 [INFOR] MainProcess(12336):githubapi         (8772 ) | module.finish:68 - GithubApi module took 7.1 seconds found 0 Email
2022-12-07 00:50:28,634 [ERROR] MainProcess(12336):bingcn            (12636) | module.get:102 - HTTPSConnectionPool(host='www.gdei.gov.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000166A56BC640>, 'Connection to www.gdei.gov.cn timed out. (connect timeout=5)'))
2022-12-07 00:50:28,799 [ALERT] MainProcess(12336):bingcn            (12636) | utils.check_response:123 - GET https://xjjx.gdei.edu.cn/bysj/Index.aspx 403 - Forbidden 548
2022-12-07 00:50:28,868 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56ACF70>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:50:33,956 [ERROR] MainProcess(12336):bingcn            (12636) | module.get:102 - HTTPConnectionPool(host='nealive.gdei.edu.cn', port=80): Max retries exceeded with url: /index (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A463ED60>, 'Connection to nealive.gdei.edu.cn timed out. (connect timeout=5)'))
2022-12-07 00:50:34,751 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A4655580>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:50:40,580 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56AC520>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:50:42,097 [ERROR] MainProcess(12336):bingcn            (12636) | module.get:102 - HTTPConnectionPool(host='nealive.gdei.edu.cn', port=80): Max retries exceeded with url: /index (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A46609A0>, 'Connection to nealive.gdei.edu.cn timed out. (connect timeout=5)'))
2022-12-07 00:50:42,160 [ALERT] MainProcess(12336):bingcn            (12636) | utils.check_response:123 - GET https://xjjx.gdei.edu.cn/cx/Index.aspx 403 - Forbidden 548
2022-12-07 00:50:42,355 [ALERT] MainProcess(12336):bingcn            (12636) | utils.check_response:123 - GET https://freshman.gdei.edu.cn/sys/Login 403 - Forbidden 548
2022-12-07 00:50:42,652 [ALERT] MainProcess(12336):bingcn            (12636) | utils.check_response:123 - GET https://jwgl.gdei.edu.cn/ 403 - Forbidden 548
2022-12-07 00:50:45,528 [DEBUG] MainProcess(12336):skymem            (1244 ) | module.finish:66 - Finished Skymem module to collect gdei.edu.cn's Email
2022-12-07 00:50:45,528 [INFOR] MainProcess(12336):skymem            (1244 ) | module.finish:68 - Skymem module took 28.2 seconds found 28 Email
2022-12-07 00:50:46,109 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPSConnectionPool(host='www.gdei.edu.cn', port=443): Read timed out. (read timeout=2)
2022-12-07 00:50:47,906 [ERROR] MainProcess(12336):bingcn            (12636) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56AC130>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=5)'))
2022-12-07 00:50:48,187 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56B88B0>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:50:52,988 [ERROR] MainProcess(12336):bingcn            (12636) | module.get:102 - HTTPSConnectionPool(host='web.gdei.edu.cn', port=8000): Max retries exceeded with url: /zsb/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000166A56C0D90>, 'Connection to web.gdei.edu.cn timed out. (connect timeout=5)'))
2022-12-07 00:50:53,681 [ALERT] MainProcess(12336):bingcn            (12636) | utils.check_response:123 - GET https://www.bfa.edu.cn/index.htm 412 - Precondition Failed 29900
2022-12-07 00:50:54,370 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A4678BB0>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:50:59,243 [ERROR] MainProcess(12336):bingcn            (12636) | module.get:102 - HTTPConnectionPool(host='ggqy.gdei.gov.cn', port=80): Read timed out. (read timeout=5)
2022-12-07 00:51:00,074 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A463E970>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:06,270 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56DF550>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:13,127 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56C0100>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:18,827 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56BCD30>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:19,293 [DEBUG] MainProcess(12336):bingcn            (12636) | module.finish:66 - Finished BingcnSearch module to collect gdei.edu.cn's Email
2022-12-07 00:51:19,293 [INFOR] MainProcess(12336):bingcn            (12636) | module.finish:68 - BingcnSearch module took 61.9 seconds found 42 Email
2022-12-07 00:51:26,456 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56AC550>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:32,088 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A4660160>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:37,699 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56C06A0>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:43,350 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56ACEE0>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:48,927 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A464FC70>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:51:54,526 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56BC310>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:52:01,560 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPConnectionPool(host='finance.gdei.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000166A56C0C70>, 'Connection to finance.gdei.edu.cn timed out. (connect timeout=2)'))
2022-12-07 00:52:06,049 [ERROR] MainProcess(12336):qwant             (13164) | module.get:102 - HTTPSConnectionPool(host='api.qwant.com', port=443): Read timed out. (read timeout=2)
2022-12-07 00:52:06,049 [DEBUG] MainProcess(12336):qwant             (13164) | module.finish:66 - Finished QwantSearch module to collect gdei.edu.cn's Email
2022-12-07 00:52:06,049 [INFOR] MainProcess(12336):qwant             (13164) | module.finish:68 - QwantSearch module took 108.7 seconds found 42 Email
